SA1_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
80104103515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,4,0,0,3,11,4,11,0,0,0,18,0,18,12,0,12,30,0,32,6,0,6,0,0,0,86,4,90
80104103516,0,3,3,0,0,0,0,0,0,0,0,4,0,3,3,4,0,4,3,0,3,10,0,8,7,5,9,8,0,4,8,0,6,8,5,14,20,6,24,19,0,19,12,0,18,9,0,9,22,4,27,6,0,6,3,0,3,139,33,171
80104103517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,5,7,3,3,3,3,5,7,10,0,9,9,0,9,9,0,9,9,0,9,15,0,15,3,0,3,0,0,0,68,12,86
80104103518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,6,4,0,4,8,0,9,9,0,9,10,0,13,11,0,11,19,0,19,11,0,11,29,4,33,10,0,10,0,0,0,118,7,134
80104103519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,3,3,0,3,4,0,6,9,3,12,7,0,9,8,0,8,6,0,6,30,0,29,4,0,10,0,0,0,86,14,98
80104103520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,9,3,0,6,0,0,0,9,0,7,7,0,7,17,0,19,9,0,9,10,0,15,5,0,5,18,3,20,4,0,8,0,0,0,87,14,108
80104103521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104103522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,5,0,3,10,6,5,14,0,0,3,12,9,21,12,0,15,11,5,14,13,0,13,31,0,31,3,0,6,0,0,0,98,29,123
80104103601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,4,0,0,0,3,6,10,5,9,11,8,8,12,5,4,12,10,6,20,12,6,18,11,4,19,15,0,13,39,0,39,3,0,8,0,0,0,120,41,168
80104103604,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,7,3,4,9,9,0,6,9,5,11,9,3,10,15,9,23,26,0,29,19,0,19,9,0,9,41,4,46,5,0,5,0,0,0,150,31,177
80104103605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,0,0,0,0,4,3,0,6,8,0,9,9,0,10,12,0,12,6,0,6,22,0,24,6,0,6,0,0,0,72,9,83
80104103606,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,5,0,4,7,4,4,8,3,7,8,7,6,8,15,8,26,15,0,15,9,0,9,15,0,15,17,3,21,4,0,4,0,0,0,107,36,141
80104103607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,8,0,11,13,0,13,12,0,18,6,0,6,33,0,36,4,0,4,0,0,0,99,7,106
80104103608,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,5,8,3,13,5,0,7,7,6,11,10,5,12,24,11,33,14,0,14,10,6,13,17,0,20,47,0,49,6,0,6,0,0,3,163,34,195
80104103609,0,7,3,0,0,0,0,0,0,0,3,3,0,6,5,0,7,6,3,0,7,5,3,10,5,8,12,16,7,17,10,9,22,3,8,15,30,5,39,26,0,29,17,3,20,18,0,18,19,3,20,12,0,12,0,0,0,168,81,243
80104103610,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,6,0,4,4,7,0,10,4,5,5,0,8,9,8,3,9,14,5,19,23,0,20,5,0,5,3,0,6,10,0,10,4,3,4,0,0,0,86,35,117
80104103611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,11,0,11,4,0,4,8,0,8,8,0,8,34,0,34,8,0,8,0,0,0,77,5,77
80104103612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,10,5,15,3,7,10,0,4,9,7,6,16,11,0,11,4,0,3,4,0,4,5,0,5,4,0,3,0,0,0,57,30,84
80104103613,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,6,5,0,5,4,7,6,5,8,8,3,9,15,8,3,10,14,5,25,13,0,13,20,0,20,15,0,15,21,0,21,3,0,6,0,0,5,116,39,155
80104103614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,5,0,3,4,0,4,7,0,7,5,3,3,8,0,15,8,0,8,12,0,16,10,0,10,33,0,29,5,0,5,0,0,0,91,8,95
80104103615,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,3,3,8,6,16,0,7,3,10,10,23,25,0,25,17,4,22,22,0,22,62,0,62,8,0,8,0,0,0,164,31,194
80104103616,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,7,3,0,3,0,0,8,0,0,4,6,4,10,0,3,3,15,9,24,11,0,11,27,0,32,10,0,10,46,3,50,8,0,8,0,0,0,143,34,180
80104103617,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,3,4,7,12,6,22,8,0,8,16,3,19,13,0,13,32,0,28,6,0,4,0,0,0,105,22,135
80104103618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,4,0,3,5,0,0,5,3,3,9,7,6,8,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,25,19,46
80104103702,0,0,0,3,0,3,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,3,4,5,10,6,9,11,4,13,10,7,15,8,7,16,14,14,30,8,0,8,16,0,13,10,0,8,25,0,26,0,0,0,0,0,0,102,54,154
80104103703,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,5,0,5,0,0,0,5,5,11,0,5,8,10,5,13,11,4,14,21,12,33,12,0,12,20,0,20,3,0,3,25,10,34,11,0,10,3,0,3,131,48,173
80104103704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,4,0,3,5,0,5,9,0,8,16,0,16,10,0,8,16,0,16,60,0,62,8,0,8,0,0,0,135,15,150
80104103705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,6,6,12,7,6,9,0,5,3,6,3,7,0,5,10,11,11,17,8,0,8,5,0,4,3,0,3,0,0,0,0,0,4,0,3,3,37,49,92
80104103706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,7,4,0,4,11,0,12,11,0,11,33,0,33,4,0,7,0,0,0,84,11,89
80104103707,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,6,4,0,5,7,4,10,10,7,18,9,3,16,8,4,12,13,7,23,10,0,8,8,0,8,12,0,12,11,0,9,3,0,5,0,0,0,90,41,133
80104103708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,3,0,4,9,0,11,9,0,8,10,3,14,12,0,12,17,0,15,11,0,11,53,0,58,17,0,17,0,0,0,140,16,157
80104103709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104103710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,4,0,6,0,0,3,0,3,3,19,0,19,13,0,13,14,0,15,5,0,5,54,7,58,6,0,8,0,0,0,133,20,150
