SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
80104103608,32,2167,1383,550,2952,0.9,2643,3
80104103609,32,1798,1096,500,2343,0.9,2092,2.6
80104103610,30,1820,1134,430,2559,0.9,2274,2.6
80104103611,33,2925,1413,680,3750,0.9,3892,3.6
80104103612,32,1733,1321,451,2222,1,2031,2.2
80104103613,33,1848,1339,480,2732,0.9,2423,2.7
80104103614,34,2492,1276,648,3227,0.9,3250,3.3
80104103615,31,2516,1653,498,3457,0.8,3273,3.1
80104103616,34,2184,1393,575,3221,0.8,3089,3.1
80104103617,33,2300,1383,523,3183,0.8,3015,2.9
80104103618,29,1500,1420,470,2291,1,1974,1.9
80104103702,32,2041,1265,460,2483,0.9,2212,2.3
80104103703,30,1975,1308,420,2431,1.1,2320,2.7
80104103704,34,2600,1560,325,3883,0.8,3833,3.1
80104103705,34,1300,1090,460,2250,0.9,1708,1.7
80104103706,34,2600,1708,317,3807,0.8,3711,3.3
80104103707,32,1800,1254,420,2250,1,1962,2.3
80104103708,33,2500,1489,300,3520,0.9,3449,3.3
80104103709,0,0,0,0,0,0,0,0
80104103710,34,2650,1529,590,3319,0.8,3289,3.1
80104103711,32,2500,1425,508,3519,0.9,3166,3
80104103712,59,2384,972,715,2708,0.7,1151,2
80104103713,36,2811,1531,570,3833,0.8,3799,3.1
80104103714,35,3017,1517,725,3818,0.8,3886,3.4
80104103804,35,2651,1595,630,4509,0.8,4471,3.3
80104103805,35,2623,1684,619,3840,0.8,3729,3.2
80104103806,33,3000,1551,605,4656,0.9,4656,3.6
80104103807,37,2500,1652,563,4035,0.9,3874,3.1
80104103808,35,2252,1351,535,3083,0.8,2860,2.9
80104103809,32,2550,1553,565,3949,0.9,3908,3.6
80104103810,37,2600,1629,595,3853,0.8,3750,3.2
80104103811,37,2725,1666,600,4356,0.9,4214,3.3
80104103812,31,2260,1495,600,3271,0.9,3182,3.1
80104103813,33,2200,1327,620,3374,0.9,3211,3.3
80104103814,35,2106,1453,528,3225,0.9,2483,2.7
80104103815,37,2386,1611,622,3802,0.7,3631,2.9
80104103907,34,2600,1125,551,3250,0.9,3107,3.1
80104103908,30,1690,981,518,2222,0.9,2333,2.9
80104103910,29,1500,1033,460,1903,1.1,1993,2.3
80104103911,28,1416,979,380,2073,1.4,1792,1.9
80104103912,32,2253,1104,585,3250,0.8,3299,3.4
80104103913,30,1585,1166,380,2194,1.3,1963,2.1
80104103914,36,2557,1161,580,2971,0.8,3033,3.3
80104103915,35,2079,1023,620,2824,0.9,2974,3.5
80104103916,29,1733,1027,545,2257,1,2441,3
80104103917,29,1400,980,441,1792,1.1,1731,2.4
80104103918,30,1560,1120,391,2133,1.4,2023,2.1
80104103919,31,2201,1269,550,3083,1,3374,3.3
80104103920,30,1162,1090,400,2042,1.2,1735,1.9
80104103921,31,1500,1139,450,2096,1.2,1968,2.1
80104103922,31,2200,1175,510,2905,0.9,3062,3.5
80104103923,34,2300,1233,600,3474,0.9,3250,3.4
80104103924,32,2440,1375,568,3824,0.9,3974,3.7
80104103925,34,2550,1380,321,3433,0.9,3437,3.3
80104103926,31,1374,1220,400,2071,1.2,1687,1.7
80104103927,31,2167,1134,525,2855,0.9,2802,3.1
80104103928,34,2167,1085,418,2788,0.9,2750,3.3
80104103929,29,1562,1100,471,2263,1.2,2152,2.5
80104104001,30,1733,958,411,2211,1.2,2125,2.7
80104104002,44,2167,1327,500,3805,0.8,3555,2.8
80104104005,35,2129,1005,526,2604,0.8,2711,3.1
80104104006,34,2000,1067,570,3062,0.8,2799,2.9
80104104007,33,1922,1125,550,3291,0.9,3178,3.3
80104104008,32,2366,1163,450,3062,0.8,3175,3.2
80104104011,0,0,0,0,0,0,0,0
80104104013,37,2167,1259,520,3154,0.8,2957,3
80104104014,33,2263,1053,600,2803,1,2940,3.3
80104104015,34,2220,1160,561,3596,0.9,3522,3.4
80104104017,30,2167,917,460,2173,1,2205,3.1
80104104018,30,0,484,148,780,0.8,575,1.8
80104104019,42,2000,835,620,2856,0.8,2856,3.3
80104104020,0,0,0,0,0,0,0,0
80104104021,33,767,599,246,724,1.1,754,1.1
80104104022,31,1138,1019,400,2016,1.4,1741,1.9
80104104023,0,0,0,0,0,0,0,0
80104104024,33,2167,1096,590,3312,0.9,3125,3.3
80104104025,32,1997,933,530,2307,1.1,2396,3
80104104026,30,1625,1071,400,2103,1.2,1777,2.2
80104104027,31,1400,1042,450,2134,1.2,1903,2.1
80104104028,27,1560,1166,480,2356,0.9,2062,2
80104104029,29,1564,1052,460,2120,1.1,2101,2.1
80104104030,29,1521,1007,450,1992,1.4,1781,2.1
80104104031,38,1647,1266,560,2359,1,2111,2
80104104032,30,1417,1095,445,2339,1.1,2014,1.9
80104104301,47,2950,1110,375,3208,0.8,2681,2.8
80104104302,0,0,0,0,0,0,0,0
80104104401,33,2167,1199,578,3296,0.8,3222,3.3
80104104402,37,2383,1245,580,3399,0.8,3368,3.1
80104104404,34,2288,1366,511,3222,0.9,3226,3.3
80104104405,32,2167,1506,325,3250,0.9,3223,3.6
80104104409,31,2527,1433,390,3078,0.9,3029,3.3
80104104410,29,1419,956,443,1812,1.3,2058,2.6
80104104411,31,2167,1233,575,3444,0.9,3555,3.3
80104104412,33,2500,1256,600,3874,0.8,3656,3.3
80104104413,32,2194,1519,350,4156,0.8,4062,3.6
80104104414,32,2259,1180,450,3200,0.9,3107,3.5
80104104415,33,1733,1187,473,2520,1,2281,2.4
80104104416,30,2029,1215,560,2961,0.9,3025,3.3
80104104417,34,2600,1680,598,3795,0.8,3729,3.2
80104104418,29,1733,1039,381,2102,1.1,2009,2.7
80104104419,29,1500,1073,400,2011,1.4,1833,2.1
80104104420,30,1482,1205,400,2333,1.1,1928,2.1
80104104421,29,1419,1089,391,2190,1.3,1855,2
80104104422,60,0,0,0,0,0,0,0
80104104423,34,2049,1488,610,3273,0.8,3214,3
80104104424,31,2447,1100,584,3027,0.9,3200,3.5
80104104425,28,1408,624,320,725,1.1,599,1.5
80104104426,30,1613,1125,450,2578,1,2526,2.7
80104104502,0,0,0,0,0,0,0,0
80104104503,0,0,0,0,0,0,0,0
80104104504,44,0,575,0,0,0.6,874,1.5
80104104601,35,2167,1226,582,2791,0.8,2571,3
80104104602,31,1623,1200,440,2422,0.8,2116,2.1
