SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL80056,58,52,112,101,108,208,105,106,210,85,87,174,292,305,594,92,84,179,66,60,129,71,61,128,222,209,433,3,5,11,6,6,10,20,5,25,18,28,43,0,0,0,42,47,91,41,75,119,11,16,28,3,12,19,37,46,79,0,0,0,94,150,249,143,196,338,11,6,21,8,17,27,0,0,0,24,22,47,61,68,132,799,857,1657
SAL80057,9,7,9,25,26,48,5,4,5,22,19,46,50,49,98,22,11,35,3,4,12,31,42,70,62,58,116,0,0,0,0,3,4,4,0,4,4,11,15,0,0,0,9,17,25,27,19,42,14,17,23,5,6,10,26,32,63,0,0,0,66,69,136,74,92,162,0,0,0,6,3,7,0,0,0,6,8,11,30,26,61,225,233,463
SAL80058,78,87,169,218,203,424,75,72,148,67,48,115,367,317,686,128,117,240,46,41,96,45,41,87,220,203,422,13,14,29,31,45,81,17,19,38,65,74,140,0,0,0,125,160,284,113,133,248,103,101,206,24,25,46,80,100,180,5,0,5,317,366,683,446,525,969,18,34,48,28,47,74,0,0,0,47,79,125,144,139,283,1310,1352,2655
SAL80059,23,19,45,101,97,198,13,14,22,9,7,14,118,118,233,43,49,90,35,21,60,6,9,18,87,84,167,6,4,9,0,0,4,19,6,30,8,18,18,0,0,0,35,32,63,6,15,25,7,8,10,6,3,10,15,18,31,0,0,0,29,48,78,60,77,138,6,4,4,3,13,16,0,0,0,9,14,23,21,19,36,324,331,652
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,11,4,19
SAL80061,44,40,86,170,171,342,17,16,34,24,19,44,218,203,417,59,60,120,25,19,46,29,51,79,120,131,247,7,3,5,6,3,12,9,5,7,13,18,30,0,0,0,32,31,59,39,46,89,19,24,39,6,9,15,34,44,72,0,0,0,97,119,216,130,146,276,7,7,11,9,12,18,0,0,0,17,18,33,78,90,171,600,630,1222
SAL80062,28,30,61,96,59,154,41,38,79,6,9,15,144,101,245,61,45,106,42,31,70,9,7,19,110,82,189,4,3,4,5,5,6,9,3,19,18,12,31,0,0,0,32,30,61,17,13,30,4,8,9,5,4,10,16,26,34,0,0,0,39,49,84,72,80,147,7,0,14,12,8,20,0,0,0,21,13,35,33,35,66,407,336,751
SAL80063,30,29,60,135,114,252,26,30,57,15,15,28,179,164,345,93,65,159,23,22,48,18,14,37,138,102,239,8,8,13,7,4,10,6,7,12,18,21,39,0,0,0,42,45,86,23,32,59,7,11,22,5,3,9,25,37,61,0,0,0,61,89,153,109,130,237,12,3,12,14,14,25,0,0,0,22,17,38,54,43,100,522,491,1014
SAL80064,72,87,155,220,191,415,98,103,201,31,38,68,356,336,687,155,135,289,75,76,147,16,30,49,247,239,484,14,9,25,8,13,19,49,32,75,48,67,112,0,0,0,112,119,238,54,78,127,8,27,37,6,12,15,38,71,114,0,0,0,112,182,293,225,304,532,15,9,26,21,42,58,0,0,0,35,50,83,116,141,260,1045,1154,2199
SAL80065,39,31,65,102,86,187,56,59,115,9,6,16,164,153,318,59,49,103,35,34,65,4,6,15,98,90,185,13,5,14,4,3,6,12,4,20,18,23,42,0,0,0,49,35,81,27,33,56,10,8,17,0,5,7,16,31,47,0,0,0,55,78,133,101,114,211,9,6,13,10,18,24,0,0,0,12,22,38,37,43,84,457,439,894
SAL80066,23,23,50,46,52,95,23,25,50,4,13,18,78,84,164,43,32,73,15,10,28,6,4,9,67,46,112,7,0,7,17,12,28,15,15,33,26,30,55,0,0,0,60,57,119,10,45,56,19,24,38,12,10,23,42,48,88,0,0,0,80,128,203,143,185,325,11,7,17,13,31,43,0,0,0,23,36,66,101,92,187,432,472,897
SAL80067,31,42,76,103,97,199,20,14,32,51,39,84,167,153,314,74,70,139,23,22,46,76,63,136,170,152,324,4,7,7,10,3,14,15,7,22,29,37,65,0,0,0,53,57,111,77,69,148,45,38,85,14,17,34,81,94,178,0,0,0,215,222,440,273,282,554,9,3,15,16,26,40,0,0,0,22,34,53,100,96,200,766,760,1522
