SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL80084,1436,1551,2981,684,516,1202,212,380,593,42,67,103,41,30,73,973,997,1970,396,501,900,4.1,3.4,3.8,68,64.3,66.1,65.2,62.1,63.6,114,126,240,41,83,126,217,314,534,133,189,322,326,167,494,10,22,27,20,49,69,350,238,587,1567,1574,3133,196,215,411,1152,1161,2320,490,534,1027
SAL80085,1212,1177,2386,692,549,1242,237,300,535,49,50,101,32,31,66,1008,932,1941,134,157,292,3.3,3.2,3.2,83.2,79.4,81.3,80.4,76.8,78.7,281,216,495,43,44,89,354,412,760,68,90,161,106,67,167,6,6,15,6,4,13,119,73,195,866,819,1684,449,407,850,121,111,238,1125,1057,2185
SAL80086,2387,2666,5053,1181,1020,2204,390,611,1000,47,98,145,72,54,128,1690,1786,3480,543,741,1289,4.4,3,3.7,70.9,67,68.9,67.8,65,66.3,498,532,1034,107,173,276,664,768,1438,133,194,330,197,113,312,24,27,48,12,39,58,230,177,415,1876,2077,3956,691,753,1446,999,1083,2083,1456,1625,3079
SAL80087,1339,1382,2722,621,481,1101,235,319,555,33,58,90,47,32,76,929,888,1820,349,437,782,4.8,3.6,4.2,69.4,64.4,66.8,66,62.1,64,253,226,479,53,95,141,308,344,656,126,148,274,149,76,220,10,23,32,13,22,41,172,119,291,1194,1288,2482,321,296,617,685,721,1402,767,782,1545
SAL80088,538,560,1106,282,190,470,77,160,232,16,24,41,14,6,21,383,388,770,156,172,328,3.9,1.8,2.9,71,68.7,69.8,68.2,67.4,67.8,49,41,91,22,38,63,105,149,248,59,75,135,113,65,181,3,0,4,10,5,10,123,75,197,621,619,1234,63,70,132,438,455,891,203,206,406
SAL80089,2580,2755,5335,1431,1065,2500,371,686,1061,92,126,216,65,73,143,1963,1951,3918,537,740,1280,3.5,3.7,3.6,76.2,70.8,73.4,73.6,68.2,70.8,244,243,483,63,134,198,431,646,1081,276,356,632,534,326,857,40,43,83,37,54,86,615,415,1035,2912,3058,5968,404,403,810,1902,2004,3903,1169,1248,2415
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,1288,1311,2595,559,467,1020,182,265,448,45,49,91,44,39,78,828,811,1640,367,437,804,5.3,4.7,5,64,62.1,63.1,60.6,59.2,59.9,208,206,419,55,84,137,282,368,648,87,102,187,174,92,265,11,9,20,11,29,41,193,136,322,1110,1189,2298,305,295,599,668,736,1410,674,693,1369
SAL80092,1355,1478,2831,652,506,1155,206,346,553,44,46,95,46,29,74,949,930,1877,351,493,845,4.7,3.3,4,69.9,63.2,66.4,66.7,61.1,63.8,229,187,421,58,95,152,375,439,814,121,178,298,169,92,255,5,12,22,15,26,43,182,130,320,1290,1387,2681,304,293,599,763,868,1638,744,755,1502
SAL80093,1106,1174,2284,533,354,885,137,265,398,31,49,75,36,24,60,739,682,1422,329,455,786,5,3.5,4.3,66.8,58.3,62.4,63.4,56.3,59.7,137,106,246,43,74,116,222,306,536,82,116,196,174,104,280,8,14,17,8,21,33,200,135,332,1142,1187,2325,142,151,289,867,919,1788,355,355,712
