SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL80058,25,26,29,14,20,7,5,6,0,140,51,52,48,79,48,14,12,24,8,337,42,46,93,68,68,23,11,26,11,388,0,0,0,4,3,6,6,4,0,28,6,0,8,10,8,3,3,9,0,44,0,3,5,5,0,0,0,0,0,26,6,10,8,9,3,0,3,8,17,62,600,1277,335,430,484,215,87,163,70,3668
SAL80059,9,3,5,13,6,0,0,4,0,37,20,16,8,13,15,0,0,0,4,89,21,21,72,17,19,4,9,9,3,185,3,5,0,0,5,0,0,0,0,10,3,4,0,3,11,0,0,0,0,24,0,4,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,152,263,99,58,107,18,19,22,14,749
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,7
SAL80061,13,14,4,3,13,0,5,3,4,59,11,14,10,20,18,4,0,0,0,89,14,12,38,16,23,0,3,4,0,111,0,0,0,0,5,3,0,0,0,8,3,9,3,7,4,0,0,0,0,18,0,7,4,0,0,0,0,0,0,17,0,7,0,3,4,0,0,0,3,19,302,709,80,113,154,32,21,32,37,1468
SAL80062,21,13,0,10,9,0,0,0,0,56,21,33,12,13,31,9,0,0,3,124,52,32,134,27,61,5,11,23,12,349,0,0,0,0,3,0,0,0,0,17,3,0,0,4,12,4,3,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,3,0,10,0,0,0,0,8,172,274,173,89,158,31,20,29,24,967
SAL80063,14,12,11,11,17,0,0,0,0,69,19,26,18,23,25,4,0,4,3,112,25,16,110,39,42,4,3,15,0,266,5,0,0,4,0,0,0,5,0,10,0,4,4,5,10,0,0,6,0,24,0,0,0,0,0,0,0,0,0,11,3,3,3,5,3,0,0,0,6,30,252,445,184,124,176,37,16,34,24,1291
SAL80064,36,40,12,27,51,3,3,0,0,179,96,76,26,70,97,22,11,12,10,418,94,76,305,99,178,33,40,41,20,893,8,12,7,14,13,0,0,0,0,50,3,8,9,10,26,10,7,7,3,81,5,6,3,0,5,0,0,0,4,26,0,11,3,3,13,0,0,0,11,40,512,855,398,298,538,88,88,83,66,2931
SAL80065,18,26,3,12,9,3,0,0,4,75,34,23,8,19,28,6,0,5,7,129,34,27,93,34,40,9,10,23,8,275,0,3,0,3,7,0,0,3,0,23,4,0,4,9,6,0,0,0,0,19,0,0,3,0,3,0,0,0,0,7,6,4,4,3,0,0,0,3,0,18,240,401,123,120,162,25,15,42,26,1156
SAL80066,25,24,9,7,21,3,8,3,0,89,35,35,16,38,47,13,0,3,4,196,45,42,103,59,76,14,5,7,4,362,4,6,0,11,10,7,0,0,0,32,0,5,8,3,12,0,3,0,3,27,0,4,0,3,3,0,0,0,0,8,4,6,8,0,9,5,6,0,3,41,293,655,179,209,308,67,43,44,39,1843
SAL80067,22,20,8,8,20,10,4,3,0,90,29,34,11,17,26,7,3,4,5,141,34,24,50,28,25,9,3,8,0,180,4,0,5,6,0,0,0,0,0,19,0,0,5,3,6,0,0,0,0,13,5,5,0,0,4,0,0,0,0,18,6,4,0,0,0,0,0,3,0,18,683,1273,125,172,297,81,18,37,53,2739
