SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
801071088,42,36,27,22,30,15,11,6,0,189,726,527,565,502,540,569,262,78,22,3791
801071089,0,0,0,0,3,0,3,0,0,6,0,6,0,5,7,9,14,0,0,41
801071090,84,54,58,63,57,49,55,23,4,447,1561,825,1005,1141,972,954,979,357,92,7886
801071132,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,10
801081091,22,25,10,19,11,17,18,18,3,143,520,313,152,351,431,390,381,273,62,2873
801081092,22,23,12,20,30,29,17,14,0,167,664,421,377,463,519,389,301,209,59,3402
801081093,48,20,31,23,25,27,10,8,6,198,694,302,377,478,466,294,287,248,82,3228
801081094,48,20,22,12,23,20,20,9,3,177,525,283,334,421,406,303,284,200,63,2819
801081095,42,43,27,37,27,10,17,12,0,215,688,337,420,496,443,336,354,215,66,3355
801081096,31,17,17,22,12,15,3,3,10,130,378,213,205,258,291,236,288,198,134,2201
801081097,34,21,34,29,19,16,23,8,7,191,579,286,359,421,359,266,263,201,50,2784
801081098,29,14,16,26,28,25,27,34,27,226,760,397,420,568,547,372,402,367,175,4008
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,20,20,24,20,16,18,7,8,0,133,431,303,503,405,329,269,202,174,54,2670
801091100,43,31,23,33,41,30,19,17,4,241,1090,612,593,783,780,682,460,366,196,5562
801091101,33,24,22,20,32,17,27,24,39,238,683,435,372,455,512,431,334,369,191,3782
801091102,16,21,23,31,27,32,27,26,4,207,766,353,350,583,485,390,342,301,140,3710
801091103,32,13,18,17,28,9,22,8,36,183,598,353,321,417,426,384,290,214,207,3210
801091104,16,3,10,16,16,20,18,11,0,110,346,230,206,271,290,383,342,243,67,2378
801091105,40,25,31,17,22,13,17,17,8,190,548,363,621,476,408,294,211,239,109,3269
801091106,51,17,42,38,19,19,15,9,5,215,613,342,571,515,395,396,294,243,75,3444
801091107,7,8,0,7,7,4,10,9,3,55,124,119,62,70,150,141,150,94,20,930
801091108,31,13,11,10,19,22,17,9,4,136,465,335,269,320,393,344,267,223,68,2684
801091109,22,42,102,34,37,28,17,12,0,294,579,582,1875,898,488,378,239,113,42,5194
801091110,41,25,16,19,27,22,11,7,0,168,523,294,255,338,365,269,185,151,43,2423
801101134,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,0,0,10
801101135,44,36,62,34,20,7,12,3,0,218,1172,552,1261,1031,460,223,113,39,11,4862
801101136,24,20,18,24,14,4,0,0,0,104,724,256,664,668,245,129,60,15,0,2761
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,36,16,69,27,20,8,16,3,0,195,770,424,1019,810,385,237,132,37,9,3823
801101145,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4
801101146,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,10
801111140,5,6,4,3,4,13,5,3,0,43,130,66,75,96,77,63,37,11,4,559
801111141,0,4,0,0,7,3,0,0,0,14,23,7,11,0,13,13,4,0,0,71
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
