SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL80120,67,142,0,0,10,48,4,20,78,304,92,365,3,8,3,14,5,15,13,43,106,412,0,5,5,7,0,0,9,21,13,32,0,5,0,0,6,5,3,19,18,49,3,7,197,605
SAL80121,50,99,0,0,0,8,3,8,11,32,15,53,0,0,0,3,0,14,4,19,19,64,0,0,0,5,0,0,7,14,6,17,0,0,3,4,11,19,12,20,18,35,6,15,88,212
SAL80122,154,310,0,20,28,138,6,34,290,1098,332,1289,4,30,14,53,18,51,38,128,366,1426,0,4,3,11,0,6,45,134,52,153,3,10,8,14,14,19,20,38,74,188,9,20,595,1932
SAL80123,13,24,0,0,0,0,0,0,9,23,9,23,0,8,0,0,0,0,0,8,3,27,0,0,0,4,0,0,0,7,0,11,0,0,0,0,0,3,0,3,7,12,0,3,25,66
SAL80124,346,705,8,55,55,260,15,67,264,1006,348,1392,25,116,40,137,118,385,186,636,536,2032,0,5,10,47,10,33,56,166,84,245,19,52,14,31,64,153,95,236,179,482,10,23,1071,3238
SAL80125,161,326,0,6,43,186,0,0,331,1279,382,1470,13,36,26,95,20,54,51,182,430,1652,0,0,9,18,0,3,30,95,37,113,0,4,3,6,14,31,15,36,53,151,5,11,651,2136
SAL80126,225,454,3,27,37,173,0,13,197,799,244,1004,20,75,33,118,42,119,93,313,339,1318,3,10,5,14,4,8,28,67,40,97,4,16,14,34,28,59,51,114,84,208,10,15,657,1999
SAL80127,639,1275,0,4,21,113,4,15,149,542,179,675,5,25,34,108,32,103,69,235,249,916,0,0,0,14,6,5,39,85,43,103,0,8,17,33,28,66,48,107,94,211,28,55,1010,2448
SAL80128,30,68,0,0,3,28,0,0,34,118,42,148,0,6,3,3,11,24,12,42,51,185,0,0,0,6,0,3,4,11,9,17,0,0,0,0,3,10,6,11,12,33,0,0,90,280
SAL80129,871,1749,19,83,109,495,31,147,569,2220,729,2948,55,234,75,236,151,459,274,930,998,3876,6,42,19,61,9,23,115,309,143,439,17,49,38,82,138,305,187,434,338,867,24,54,2237,6546
SAL80130,270,536,7,32,38,165,5,17,223,857,271,1076,11,60,29,103,41,133,83,293,355,1370,0,9,11,31,0,8,39,100,50,148,7,12,15,31,46,91,64,133,113,277,11,23,748,2207
SAL80131,670,1342,3,17,79,341,4,23,554,2076,644,2454,24,100,64,204,60,190,145,495,788,2952,0,8,23,66,0,3,135,296,156,367,12,36,37,74,70,153,116,258,274,628,33,72,1772,4993
SAL80132,298,611,8,47,48,228,8,24,205,798,268,1100,20,96,50,177,64,211,135,480,399,1582,0,3,7,34,0,4,15,47,33,89,8,19,10,14,26,67,41,101,73,190,6,7,779,2396
SAL80133,415,839,0,12,53,238,9,33,304,1165,363,1441,32,137,40,136,52,160,123,437,486,1876,0,11,12,47,0,4,51,122,67,177,10,25,24,52,45,90,75,168,141,348,14,31,1065,3093
SAL80134,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL80135,399,802,0,5,33,157,9,25,370,1371,409,1561,4,24,34,119,28,88,68,232,481,1794,4,12,4,12,3,12,56,122,62,160,6,20,21,42,35,73,56,141,122,294,17,34,1019,2923
SAL80136,447,893,0,4,50,209,6,8,185,727,232,954,20,96,62,200,54,171,137,463,366,1417,0,0,12,32,0,5,27,58,36,97,4,6,6,10,28,67,43,84,77,181,3,9,902,2494
SAL89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
