SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL80125,5,82,0,80,..,4,3,8,0,8,..,6,0,6,0,6,..,39,15,52,0,52,..,177,19,195,7,199,..,1239,166,1409,21,1428,..,14,4,16,52,70,904,1255,166,1423,75,2405
SAL80126,4,31,0,31,..,0,0,5,0,5,..,4,0,4,0,4,..,3,0,3,0,3,..,56,0,55,6,57,..,411,39,452,6,461,..,10,0,10,82,90,1869,421,39,466,86,2424
SAL80127,0,24,0,24,..,4,3,8,0,8,..,0,0,0,0,0,..,36,4,42,0,42,..,130,14,142,0,142,..,1010,90,1104,8,1110,..,20,6,21,137,159,3195,1029,95,1126,145,4470
SAL80128,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,18,18,289,0,0,0,18,309
SAL80129,0,32,0,32,..,31,5,36,0,34,..,3,0,4,0,9,..,29,9,40,0,40,..,180,24,206,3,206,..,1158,142,1304,8,1309,..,14,6,22,222,245,6327,1180,144,1322,233,7885
SAL80130,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,63,17,81,4,81,..,362,54,411,3,418,..,10,0,10,110,121,2240,374,54,423,115,2785
SAL80131,0,27,0,27,..,10,0,10,0,10,..,6,0,5,0,5,..,74,7,81,3,85,..,284,28,312,3,316,..,1196,111,1312,19,1323,..,24,0,23,215,242,5160,1224,111,1336,231,6727
SAL80132,0,7,0,6,..,6,0,6,0,6,..,10,0,6,0,6,..,36,3,40,0,40,..,49,0,49,0,48,..,455,31,489,4,496,..,10,0,7,60,71,2231,467,34,502,60,2795
SAL80133,0,17,0,17,..,3,0,3,0,3,..,4,0,4,0,4,..,15,3,18,0,18,..,98,8,116,10,118,..,679,63,739,9,754,..,9,0,10,131,143,3104,688,65,755,147,4000
SAL80134,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,0,7,0,7,0,7
SAL80135,0,52,0,52,..,15,3,21,0,21,..,5,5,14,0,14,..,26,0,25,0,25,..,176,12,186,0,189,..,1321,76,1399,12,1414,..,23,6,26,127,149,2246,1341,80,1423,138,3808
SAL80136,0,14,0,14,..,7,0,7,0,7,..,7,0,8,0,8,..,26,0,26,0,26,..,36,0,37,0,37,..,487,32,519,6,530,..,13,0,13,106,122,2475,499,32,533,114,3120
SAL89494,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,71,10,78,0,81,..,5,0,5,125,130,400,76,10,82,127,605
SAL89797,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
